,count,mean,std,min,50%,max,pct_missing
Average Water Speed,30594.0,16.809,13.169,0.0,13.404,89.912,0.065
Average Water Direction,30613.0,177.654,103.645,0.0,176.467,359.994,0.003
Chlorophyll,30031.0,2.791,1.861,0.1,2.384,43.301,1.904
Temperature,25482.0,24.421,3.498,17.0,25.252,32.063,16.764
Dissolved Oxygen,26361.0,6.816,0.622,3.03,6.815,9.26,13.892
Dissolved Oxygen (%Saturation),24929.0,96.658,8.127,51.836,96.53,134.082,18.57
pH,29539.0,8.063,0.092,7.309,8.073,8.255,3.511
Salinity,26699.0,30.995,3.465,0.057,30.594,36.0,12.788
Specific Conductance,29259.0,47.914,5.151,0.021,47.412,54.996,4.426
Turbidity,28645.0,3.942,4.074,0.335,3.095,49.869,6.432
